"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Nov-2022","EQ","768.05","770.00","756.65","768.05","764.00","762.75","762.15","861.15","650.20","1,573,795","1,199,469,401.30","69,208"
"02-Nov-2022","EQ","776.00","778.20","764.70","774.85","767.25","768.05","768.43","861.15","650.20","1,073,726","825,084,414.40","25,701"
"01-Nov-2022","EQ","773.00","784.50","767.40","770.15","774.25","774.85","774.23","861.15","650.20","1,893,673","1,466,147,505.90","51,026"
"31-Oct-2022","EQ","765.20","772.45","761.90","761.35","770.35","770.15","766.62","861.15","650.20","997,865","764,984,512.65","33,529"
"28-Oct-2022","EQ","773.45","773.45","759.50","770.05","761.40","761.35","761.88","861.15","650.20","1,598,314","1,217,720,480.35","36,149"
"27-Oct-2022","EQ","774.75","779.50","759.60","766.95","770.65","770.05","768.67","861.15","650.20","1,692,389","1,300,887,896.85","48,528"
"25-Oct-2022","EQ","770.00","776.80","764.65","770.95","767.50","766.95","771.64","861.15","650.20","871,995","672,862,813.10","30,403"
"24-Oct-2022","EQ","770.00","776.00","764.85","761.65","772.00","770.95","772.38","861.15","650.20","292,558","225,967,164.20","14,754"
"21-Oct-2022","EQ","773.00","780.85","755.05","770.70","764.85","761.65","767.54","863.00","650.20","1,692,279","1,298,895,027.30","57,976"
"20-Oct-2022","EQ","761.55","772.00","755.50","764.55","771.00","770.70","766.72","863.00","650.20","955,562","732,646,953.65","38,211"
"19-Oct-2022","EQ","774.45","777.00","761.10","774.35","763.80","764.55","767.80","863.00","650.20","1,115,277","856,308,286.15","42,271"
"18-Oct-2022","EQ","767.00","776.00","763.55","763.15","773.00","774.35","771.21","863.00","650.20","1,361,691","1,050,146,195.90","35,062"
"17-Oct-2022","EQ","761.25","771.95","757.30","761.25","763.35","763.15","765.83","863.00","650.20","940,646","720,371,863.45","40,218"
"14-Oct-2022","EQ","768.95","768.95","760.00","757.40","760.10","761.25","764.34","863.00","650.20","1,278,730","977,387,704.75","35,158"
"13-Oct-2022","EQ","754.95","760.20","749.15","757.35","756.55","757.40","755.81","863.00","650.20","1,198,492","905,835,253.05","29,936"
"12-Oct-2022","EQ","745.50","759.00","738.80","742.60","755.50","757.35","750.90","863.00","650.20","1,372,962","1,030,962,571.65","47,000"
"11-Oct-2022","EQ","758.00","759.85","740.25","757.15","742.60","742.60","750.00","863.00","650.20","1,956,824","1,467,623,231.85","60,265"
"10-Oct-2022","EQ","769.25","775.05","755.00","780.90","758.70","757.15","760.84","863.00","650.20","2,334,168","1,775,918,659.75","70,735"
"07-Oct-2022","EQ","787.90","793.90","779.05","794.30","781.20","780.90","783.02","863.00","650.20","1,053,907","825,235,503.00","46,394"
"06-Oct-2022","EQ","790.00","799.60","784.10","785.15","794.00","794.30","793.39","863.00","650.20","2,067,042","1,639,971,368.50","50,133"
"04-Oct-2022","EQ","786.75","792.45","781.20","777.95","784.75","785.15","786.54","863.00","650.20","1,238,967","974,499,313.95","36,990"
"03-Oct-2022","EQ","802.85","804.80","776.00","802.85","778.20","777.95","787.66","863.00","650.20","1,652,675","1,301,747,723.20","55,739"
